SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
LICNMID100,EQ,60.92,60.93,58.2,58.5,58.61,58.87,10086,598556.45,07-Oct-2024,210,INF767K01RN1
BAIDFIN,BE,15.28,15.28,14.1,14.48,14.6,14.62,154980,2230194.02,07-Oct-2024,382,INE020D01022
ERIS,EQ,1350.6,1374.8,1305,1324.05,1322.8,1350.6,186273,250402703.35,07-Oct-2024,22969,INE406M01024
HINDALCO,EQ,753,753,722.5,731.3,732,747.9,5862059,4288225051.55,07-Oct-2024,114049,INE038A01020
SVPGLOB,EQ,7.02,7.02,6.66,6.77,6.79,6.91,76119,514980.46,07-Oct-2024,292,INE308E01029
WENDT,EQ,14432.75,15411,13822,14690.05,15000,14318.6,1199,17202591.25,07-Oct-2024,458,INE274C01019
LIKHITHA,EQ,382,387.45,365.1,368.7,372.3,384.5,121138,45208995.50,07-Oct-2024,6578,INE060901027
MEDICAMEQ,EQ,580.6,580.6,515.9,544.15,545,572.65,49403,26636034.25,07-Oct-2024,1959,INE646B01010
MICROPRO,SM,40.75,40.75,38.75,39.05,39.05,40.75,11200,446720.00,07-Oct-2024,7,INE0PZK01014
NAHARCAP,EQ,316.7,316.7,287.5,289.6,290.7,306.05,13165,3869935.50,07-Oct-2024,784,INE049I01012
OSELDEVICE,ST,189.9,189.9,178.5,178.5,178.5,187.9,87200,15702160.00,07-Oct-2024,104,INE0RMF01018
PREMEXPLN,EQ,500.2,507.4,480,480.5,480.75,505.05,112560,54715013.40,07-Oct-2024,5623,INE863B01029
RKDL,BE,28.03,28.03,26.62,26.62,26.62,28.03,26211,707781.12,07-Oct-2024,228,INE722J01012
865TCAPS27,N8,1020.2,1024,1020.2,1023.25,1023.25,1020.2,772,789173.64,07-Oct-2024,17,INE306N07LM5
SOLARINDS,EQ,10865,10949.95,10349.05,10765.55,10765,10949.9,63727,677145313.45,07-Oct-2024,21037,INE343H01029
UMESLTD,BE,6.61,6.78,6.15,6.55,6.63,6.48,37087,238538.12,07-Oct-2024,177,INE240C01028
KANPRPLA,EQ,119.35,119.35,115.29,116.47,119,118.17,10030,1172520.68,07-Oct-2024,594,INE694E01014
MSUMI,EQ,67.8,68.1,65.11,65.92,66.08,67.46,6986523,462012137.47,07-Oct-2024,73460,INE0FS801015
PALREDTEC,EQ,118.9,140.8,117.6,126,122.6,118.78,595149,78323164.53,07-Oct-2024,12257,INE218G01033
PRLIND,SM,122.2,124.95,112.5,115,114.1,125,248000,29222400.00,07-Oct-2024,113,INE0CFG01012
RHFL,BE,5.01,5.01,5.01,5.01,5.01,5.28,377982,1893689.82,07-Oct-2024,1029,INE217K01011
EPL,EQ,259.95,264.95,250.5,254.65,255.35,260.1,1884511,486325477.95,07-Oct-2024,42017,INE255A01020
GFSTEELS,BE,7.35,7.71,7,7.71,7.71,7.35,2930,21613.10,07-Oct-2024,11,INE534A01028
HUHTAMAKI,EQ,376.5,389,360,371.35,372,374.8,91364,33773938.00,07-Oct-2024,3528,INE275B01026
SINDHUTRAD,EQ,20.99,21.2,20.2,20.2,20.2,21.27,793949,16214675.09,07-Oct-2024,1796,INE325D01025
IEX,EQ,208.8,212.39,197.2,198.97,200.01,207.95,18012330,3641156685.36,07-Oct-2024,112739,INE022Q01020
