SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
FMNL,BE,11.1,11.1,11.1,11.1,11.1,10.89,45882,509290.20,11-Oct-2024,52,INE360L01017
HDFCBSE500,EQ,37.61,38.09,37.39,37.77,38.04,38.04,45964,1736781.11,11-Oct-2024,560,INF179KC1EZ4
IDEAFORGE,EQ,681.05,697.75,681.05,684.5,684.8,676.75,297085,204891443.75,11-Oct-2024,20379,INE349Y01013
INOXGREEN,EQ,193.4,194.4,189.5,190.59,191.21,193.35,1235633,236295367.55,11-Oct-2024,9654,INE510W01014
PCCL,SM,263,273.6,258.3,268,269.9,262.85,29600,7940680.00,11-Oct-2024,32,INE998U01015
RML,EQ,1109,1126.45,1105,1113.95,1110,1119.3,4567,5100775.85,11-Oct-2024,731,INE050H01012
SAMPANN,BE,28.1,29.4,28,28.36,28.4,28.55,20275,576698.53,11-Oct-2024,110,INE735M01018
SRF,EQ,2349,2365.65,2327.75,2348.75,2351.45,2342.3,216675,509342434.35,11-Oct-2024,16470,INE647A01010
SWELECTES,EQ,1182,1190.4,1170,1177,1178.5,1182.25,10954,12899937.15,11-Oct-2024,1690,INE409B01013
VMARCIND,ST,397.5,401.5,385.25,392,392,397.5,8000,3136250.00,11-Oct-2024,8,INE0GXK01018
XELPMOC,EQ,170,173.3,148.76,150.61,150,160.54,687906,111442843.55,11-Oct-2024,11394,INE01P501012
ADVENZYMES,EQ,480,497,480,484.95,485.9,487.4,170981,83653116.70,11-Oct-2024,11642,INE837H01020
ASTERDM,EQ,418,420.95,413.45,420.2,419.7,418.3,281669,117681113.55,11-Oct-2024,10562,INE914M01019
AXISBANK,EQ,1182.5,1188.2,1166,1172.45,1173.2,1184.25,4754158,5590041386.50,11-Oct-2024,124062,INE238A01034
BIRLACABLE,EQ,245.6,247,242.85,244.8,244,245,22563,5534588.05,11-Oct-2024,841,INE800A01015
BURNPUR,BE,6.75,6.79,6.51,6.61,6.65,6.78,86464,575995.45,11-Oct-2024,356,INE817H01014
EIHOTEL,EQ,432.5,435.7,424.7,430.2,430.4,431.4,809821,348148048.25,11-Oct-2024,26019,INE230A01023
GFLLIMITED,EQ,90.35,92.4,87.72,88.3,88.49,90.18,139523,12597482.61,11-Oct-2024,2264,INE538A01037
JSL,EQ,755.05,772,749.55,754.45,754.35,756.05,455277,345889658.40,11-Oct-2024,28777,INE220G01021
KRISHNADEF,ST,706,712,690,698.4,700,706.4,20500,14349150.00,11-Oct-2024,34,INE0J5601015
LAXMICOT,EQ,34.63,41.45,34.63,37.37,37.1,34.63,1039423,40799397.60,11-Oct-2024,6058,INE801V01019
MUKKA,EQ,44.73,44.85,43.01,43.2,43.3,44.62,731302,31930656.96,11-Oct-2024,4302,INE0CG401037
NBCC,EQ,117.4,117.75,113.75,114.06,114.08,116.98,6953397,801480992.44,11-Oct-2024,53144,INE095N01031
SCL310524,ZF,975,975,975,975,975,975,10,9750.00,11-Oct-2024,1,INE148I07TA9
SIGACHI,EQ,53.23,53.37,52.37,53.17,53.12,53.23,664352,35124578.79,11-Oct-2024,4605,INE0D0K01022
UTINIFTETF,EQ,270,272.77,270,271.5,271.58,271.82,127277,34528263.05,11-Oct-2024,359,INF789F1AZC0
ALICON,EQ,1324.85,1350,1294.55,1330.15,1314.1,1309.15,19150,25413360.45,11-Oct-2024,2413,INE062D01024
AMDIND,EQ,69.15,69.29,67.37,67.8,67.37,68.13,6319,430318.54,11-Oct-2024,204,INE005I01014
KPIGREEN,BE,805,818,790,799.5,807.85,804.5,127709,101860819.65,11-Oct-2024,10535,INE542W01025
PALREDTEC,BE,123,123,119.5,120.98,123,121.1,17784,2153861.67,11-Oct-2024,163,INE218G01033
PRLIND,SM,120.9,120.9,118.05,118.4,118.3,120.5,28000,3326100.00,11-Oct-2024,14,INE0CFG01012
SINDHUTRAD,EQ,28.75,28.75,25.81,26.07,26.2,27.91,3372037,90790983.14,11-Oct-2024,9064,INE325D01025
EPL,EQ,269.6,271.25,260.5,263.4,263,270.4,1032859,272915083.95,11-Oct-2024,25961,INE255A01020
HUHTAMAKI,EQ,394.2,404.95,388.55,400.2,400.85,397.8,192136,76961695.75,11-Oct-2024,4660,INE275B01026
KANPRPLA,EQ,119.8,121,118.43,120.36,119.86,118.75,2761,331964.88,11-Oct-2024,206,INE694E01014
METAL,EQ,10.33,10.82,9.85,9.92,9.93,9.84,190882,1900318.97,11-Oct-2024,475,INF769K01LY7
MSUMI,EQ,66.88,66.9,65.12,65.93,65.9,65.97,7199905,473311882.12,11-Oct-2024,46822,INE0FS801015
GENCON,BE,44.03,44.8,42.55,43.93,43.94,44.03,17434,761759.28,11-Oct-2024,68,INE854S01022
GREAVESCOT,EQ,172.51,173.8,169.95,171.21,171.1,173.19,956990,164195626.74,11-Oct-2024,14383,INE224A01026
JINDALSTEL,EQ,989,1014,989,1005.85,1003.9,990.75,1834521,1842903019.60,11-Oct-2024,33280,INE749A01030
KHANDSE,EQ,28.55,29.19,27.76,28.25,28.48,28.63,24294,691860.63,11-Oct-2024,996,INE060B01014
NOIDATOLL,BE,15,15,14.99,14.99,14.99,15.09,20833,312431.49,11-Oct-2024,39,INE781B01015
TAINWALCHM,EQ,273.99,273.99,251.25,259.21,254.75,262.97,16719,4351347.81,11-Oct-2024,883,INE123C01018
TUNWAL,SM,45.5,46.85,45.25,46.35,46.55,45.3,100000,4599300.00,11-Oct-2024,48,INE0OXV01027
WONDERLA,EQ,888.4,917,886,903.05,913,898.15,37376,33505322.60,11-Oct-2024,4129,INE066O01014
SETFGOLD,EQ,65.8,65.8,65.14,65.45,65.4,64.83,1726410,113048353.41,11-Oct-2024,5100,INF200KA16D8
888ERFL28,N5,916.8,916.8,908,913.63,909,916.79,239,218893.17,11-Oct-2024,12,INE528S07110
829LTF24,NL,1002.55,1002.55,1002.55,1002.55,1002.55,1000.1,2,2005.10,11-Oct-2024,1,INE027E07BA2
SMLISUZU,EQ,1830,1846.95,1814.05,1835.4,1837,1834.7,5241,9601167.60,11-Oct-2024,1143,INE294B01019
SRHHYPOLTD,EQ,898.5,942,877,896.2,893.1,898.5,468428,425700024.10,11-Oct-2024,22170,INE917H01012
ADSL,EQ,285.8,295.5,280.3,285.05,284.1,285.15,588813,170393541.85,11-Oct-2024,8676,INE102I01027
CONCOR,EQ,891.45,899.1,882.65,893.9,894.45,888.1,839159,749678818.30,11-Oct-2024,30214,INE111A01025
EGOLD,EQ,76.6,77.1,76.6,77,76.6,76.25,29029,2235248.75,11-Oct-2024,11,INF754K01SE6
GLAXO,EQ,2764.55,2835.3,2742.1,2783.45,2783,2761.15,60661,168649183.05,11-Oct-2024,8631,INE159A01016
PUNJABCHEM,EQ,1149.15,1149.15,1112,1117.2,1112,1146.3,9928,11146411.75,11-Oct-2024,893,INE277B01014
SAHASRA,ST,720.4,720.4,701.2,720.4,720.4,686.1,807200,580795440.00,11-Oct-2024,1306,INE0RBQ01018
TNTELE,EQ,10.34,10.45,9.65,9.97,9.96,9.96,59837,608444.52,11-Oct-2024,175,INE141D01018
TGL,ST,516.45,523,502,512.6,511.2,517.3,32400,16653360.00,11-Oct-2024,26,INE0K6601012
TRANSTEEL,SM,64.6,64.8,64.3,64.35,64.35,64.6,8000,516100.00,11-Oct-2024,4,INE0NVI01020
AKSHARCHEM,EQ,320.15,328,315.1,325.35,322,320.85,8321,2675249.45,11-Oct-2024,878,INE542B01011
CAPLIPOINT,EQ,1887.85,1912.45,1880,1906.45,1909,1887.85,80915,153549504.55,11-Oct-2024,9519,INE475E01026
DTL,SM,153,160,149.9,158.15,160,153.45,61200,9309060.00,11-Oct-2024,45,INE0JRD01019
ELECTHERM,BE,971.6,971.6,945,945,945,953.7,8358,8086043.10,11-Oct-2024,77,INE822G01016
IVC,BE,11.99,12.04,11.71,11.84,11.84,11.83,70842,839999.69,11-Oct-2024,604,INE050B01023
IMPEXFERRO,BE,3.64,3.64,3.42,3.42,3.42,3.48,11125,38906.97,11-Oct-2024,53,INE691G01015
KCK,ST,280.05,280.05,280,280,280,288,4000,1120100.00,11-Oct-2024,2,INE0J1E01019
LYKALABS,EQ,140.84,147.5,139.61,146.67,147.43,140.84,117183,16981416.24,11-Oct-2024,1652,INE933A01014
MANUGRAPH,EQ,24.56,24.79,23.68,23.9,24,24.13,27728,668751.15,11-Oct-2024,188,INE867A01022
782PN42,SG,100,100,100,100,100,100,100,10000.00,11-Oct-2024,1,IN2820220068
935LTF29,N5,1082,1102.5,1082,1085.1,1085.1,1099.5,243,265045.70,11-Oct-2024,7,INE027E07972
957ICCL25,YW,1025,1025,1025,1025,1025,1080,5,5125.00,11-Oct-2024,1,INE721A07ON4
SETCO,BE,12.4,12.6,11.85,12.06,12.14,12.4,39536,477460.54,11-Oct-2024,159,INE878E01021
SOMANYCERA,EQ,720.45,724.8,702.1,720.25,720,716.85,20663,14769056.15,11-Oct-2024,1859,INE355A01028
SWSOLAR,EQ,596,596,562.2,566.4,564.95,567.65,3587318,2073533407.20,11-Oct-2024,70495,INE00M201021
VAISHALI,EQ,205.95,214.89,203,212.85,211.8,201.71,624939,131564693.66,11-Oct-2024,8892,INE972X01014
ARMANFIN,EQ,1563.45,1574.2,1528.3,1541.4,1545.45,1562.9,35622,55040285.90,11-Oct-2024,5966,INE109C01017
CAMLINFINE,EQ,101.06,102.55,100.2,100.89,100.21,101.46,242319,24570465.69,11-Oct-2024,3693,INE052I01032
CIPLA,EQ,1602.1,1613.8,1573.75,1595.75,1594.3,1618.9,1894245,3023778556.25,11-Oct-2024,95276,INE059A01026
CROWN,BE,246.4,254,240.45,251.55,251,242.48,37297,9272735.69,11-Oct-2024,485,INE491V01019
DHARMAJ,EQ,327.55,358,322.35,346.15,346.35,326.55,294528,101784019.20,11-Oct-2024,7959,INE00OQ01016
GATEWAY,EQ,88.5,88.8,87.62,87.79,88.12,88.06,553770,48877691.82,11-Oct-2024,6447,INE079J01017
MAYURUNIQ,EQ,610,613.45,603,608.65,609.5,606.95,28061,17085498.60,11-Oct-2024,1910,INE040D01038
MYMUDRA,SM,96.25,97.25,94,96.4,95.65,96.25,56400,5419320.00,11-Oct-2024,47,INE0RVQ01016
PASUPTAC,BE,49.81,51.39,49.81,50.76,50.8,50.44,35703,1811245.25,11-Oct-2024,274,INE818B01023
PRAKASH,EQ,170.34,171.79,168.21,169.26,169.69,169.84,358346,60901695.14,11-Oct-2024,9535,INE603A01013
PRECAM,EQ,239.33,244.5,233.74,237.79,240,239.28,112191,26863377.49,11-Oct-2024,2696,INE484I01029
935MOFSL29,N5,1028,1028,1028,1028,1028,1009,25,25700.00,11-Oct-2024,1,INE338I07107
SHUBHLAXMI,ST,35.2,35.2,34.7,34.7,34.7,36.5,24000,833750.00,11-Oct-2024,21,INE01Z401013
SONACOMS,EQ,675,677,661.5,665.1,664.45,670.8,761195,508240617.25,11-Oct-2024,32989,INE073K01018
GOLDCASE,EQ,12.18,12.18,11.96,12.05,12.05,11.95,334963,4038725.29,11-Oct-2024,827,INF0R8F01042
ALKEM,EQ,6188.9,6233,6109.7,6191.3,6187.85,6137.1,110068,681047601.70,11-Oct-2024,17469,INE540L01014
GRPLTD,EQ,3546.2,3546.2,3500,3539.25,3520,3377.35,10156,35969404.70,11-Oct-2024,581,INE137I01015
HINDCON,EQ,49.99,50.57,49.02,49.23,49.35,49.53,65366,3231828.67,11-Oct-2024,2530,INE642Y01029
JAGRAN,EQ,92.3,93.12,91.8,92.24,92.3,92.56,81224,7508521.68,11-Oct-2024,1049,INE199G01027
KLL,SM,123.05,136.5,122,128,127,124.45,81600,10618480.00,11-Oct-2024,48,INE0Q2V01012
MOIL,EQ,376.65,388.3,373.3,382.75,382.8,376.85,765552,292870369.00,11-Oct-2024,20887,INE490G01020
OBEROIRLTY,EQ,1880.6,1924.8,1848.8,1919.15,1910.85,1879.25,928809,1763068321.35,11-Oct-2024,51825,INE093I01010
REXPIPES,SM,77.5,77.5,77,77.4,77.4,80.1,12000,928000.00,11-Oct-2024,5,INE00D001018
NIF5GETF,EQ,59.01,62.99,59.01,62.88,62.99,58.16,20,1253.82,11-Oct-2024,4,INF789F1AZE6
PFIZER,EQ,5787.6,5849.45,5656.05,5758.75,5755,5743.3,17768,102289269.20,11-Oct-2024,5547,INE182A01018
SPCENET,EQ,25.25,26,24.51,25.78,25.69,25.17,3211154,81404819.57,11-Oct-2024,2603,INE970N01027
STYLAMIND,EQ,2309.25,2350,2220.05,2332.2,2310,2295.3,25357,58423828.40,11-Oct-2024,3715,INE239C01020
SBGLP,EQ,129.25,131.35,124.11,125.33,124.95,130.89,178831,22667130.54,11-Oct-2024,2489,INE05ST01028
ZODIAC,BE,620,630,611,616.7,620,634.05,12479,7721523.90,11-Oct-2024,978,INE761Y01019
INFY,EQ,1918,1947,1910.1,1935.1,1935,1919,4709431,9101157285.95,11-Oct-2024,209438,INE009A01021
KCPSUGIND,BE,53.62,53.62,51.5,52.08,52,52.31,64672,3380581.89,11-Oct-2024,580,INE790B01024
MAXESTATES,EQ,614.7,618.2,602.35,614.9,616,615.95,84557,51790601.60,11-Oct-2024,4911,INE03EI01018
RSYSTEMS,EQ,529.5,529.5,512,516.9,517.05,526.85,294300,152594379.15,11-Oct-2024,5445,INE411H01032
WOCKPHARMA,EQ,996.75,996.75,996.75,996.75,996.75,949.3,114772,114398991.00,11-Oct-2024,1379,INE049B01025
